orginal,translation
계초명鷄初鳴이 이윽ꢀ고 인人家 적적寂寂 ꢁ일네,닭의 첫 울음소리 이슥하고 인가 적적 함밤중이네
집을  드러가니 혼비魂飛魄散 반半 주검이,집을 찾아 들어가니 혼비백산 반 주검이
언불출구言不出口 너머지니,말도 꺼내지 못하고 넘어지니
더온 구돌 목의 송장 갓치 누엇,더운 구들 아랫목에 송장 같이 누웠다가
인人事 수습收拾 ꢀ온 후의 두 발 흘 구버보니,인사 수습 한 후에 두 발 끝을 굽어보니
열락이 간  업,열 발가락이 간 곳 없네
간신艱辛 됴리調理 명生命ꢀ여 쇠게 실려 도라오니,간신히 조리한고 목숨 살려 소에 실려 돌아오니
팔십당연八十當年 우리 노모老母 마됴 와 일던 ,팔십세 된 우리 노모 마중 나와 하던 말씀
왓  식아 망 업시 도라온들 모 신역身役 걱뎡ꢀ랴,살아왔다 내 자식아 죽지 않고 돌아온들 모든 신역 걱정하랴
전토田土 가장家庄 진盡賣ꢀ여 십뉵양四十六兩 돈 디고,전토 가장 다 팔아서 46냥 돈 가지고
긔소疤記所 가니 듕군中軍 툥把摠 호령號令ꢀ되,파기소 찾아가니 중군 파총 호령하되
우리 도使道 분分부 內의,우리 사또 분부 안에
각各 툐군哨軍의 뎨諸 신역身役을 돈피㹠皮 외外예 디 라,각 초군의 모든 신역을 담비 외에 받지 말라
관官령 녀如此 디엄至嚴ꢀ니 ꢀ릴 업서 퇴ꢀ놋,관령 이와 같이 지엄하니 하릴없이 물러났다
돈 디고 물너와 원뎡原情 디어 발괄ꢀ니,돈 가지고 물러나와 억울함을 적어 하소연하니
물勿위 번소煩訴 뎨題辭ꢀ고 군노軍奴 댱교將校 差使 노아,번거로운 고소장 올리지 말라 판결하고 군노 장교 파견하여
셩화星火 티 촉ꢀ니,성화 같이 재촉하니
노부모老父母의 원遠行 치댱治裝 팔승八升 네필匹 두엇더니,노부모의 장례 준비로 마련한 베 8승 4필 두었더니
팔양八兩 돈을 비러 고 파라다가 와 니,여덟냥 돈을 빌어 받고 팔아다가 채워 내니
오십녀냥五十餘兩 되거고야,50여냥 되었구나
슈三水 각딘各鎭 두로 도라 니십뉵댱二十六張 돈피㹠皮 니,삼수와 각 진 두루 돌아 26장 담비가죽 사니
십여일十餘日 쟝근將近이라,10여일 다 되었구나
셩화星火  관官家 분부分付 디次知  도왓,성화 같은 관가 분부 아내 잡아 가두었네
불상 병病든 텨妻 영오듕囹圄中의 더디여셔,불상하다 병든 처는 감옥 중에 던져져서
결항치結項致死 ꢀ단 말,목을 매어 죽었단 말인가
 집 문뎐門前 도라드니 어미 불너 우 소,내 집 문전 돌아드니 어미 불러 우는 소리
구텬九天의 못ꢀ고,구천에 닿을 듯하고
의디 업 노부모老父母 불성인不省人事 누어시니,의지할 곳 없는 노부모는 인사불성 누웠으니
긔뎔氣絶ꢀ온 시로,기절하신 탓이로다
여러 신역身役 밧친 후의 시체屍體  ꢀ고,여러 신역 바친 후에 시체 찾아 장사지내고
묘祠廟 뫼서 희 믓고 토록 통곡痛哭ꢀ니,조상 신주 모셔 땅에 묻고 애끊도록 통곡하니
무지미물無知微物 뭇 됴작鳥雀이 저도 ꢁ 설니 운다,무지한 미물들 뭇 새들이 저도 또한 서럽게 운다
막중 변디邊地 우리 인人生 나 성百姓 되어나서,막중 변방 우리 인생 나라 백성 되어서
군軍士 슬 도망逃亡ꢀ면 화외민化外民이 되려니와,군사 싫다 도망하면 나라밖 사람 되려니와
ꢁ 몸의 여러 신역身役 무가 세 업서,한 몸에 여러 신역 물다가 할 수 없어
 금년니 도오니 유리무뎡流離無定 ꢀ노라,또 금년이 돌아오니 유리무정 하노라
나라님긔 알외니 구듕천문九重天門 머러 잇고,임금님께 아뢰자니 구중궁궐 멀어 있고
뇨순堯舜 갓 우리 셩쥬聖主 일월日月 갓티 발그신들,요 순 같은 우리 임금님 해와 달 같이 밝으신들
점沾불 셩화聖化 이 극변邊의 복분ꢀ覆盆下라 빗쵤소냐,임금님 은혜 이 변방에 엎어진 항아리 아래처럼 비칠까
그 ꢁ  말 듯소 관他官 소식消息 드러보게,그대 또한 내 말 듣소 타관 소식 들어보게
북텽北靑 부府使 뉘실런고 성명姓名은 간 이저 잇,북청 부사 누구던가 성명은 잠깐 잊었네
허다許多 군졍軍丁 안보安保ꢀ고 골도망白骨逃亡 해원解怨일,허다한 군정 잘 다스리고 백골도망의 원망을 풀어주었네
각各隊 초관哨官 제諸 신역身役을 소大小 민호民戶 분징分徵ꢀ니,각 군대 초관 여러 신역을 대소 민호 나누어 징수하니
만흐면 닷돈 푼수 저그며 서돈이라,많으면 닷돈 정도 적으면 서돈이라
인읍隣邑 셩百姓 이 말 듯고 남부녀負女戴 모다 드니,인근 백성 이 말 듣고 남부여대 모여 드니
군뎡軍丁 허오虛伍 업서지고 민호民戶 졈졈漸漸 느러간다,군정 허수 없어지고 민호 점점 늘어간다
나도 ꢁ 이 말 듯고 우리 고을 군졍軍丁 신역身役,나도 또한 이 말 듣고 우리 고을 군정 신역
북청北靑 일례一例 ꢀ여디라 영문營門 의송議送 졍呈 말가,북청과 같도록 하여달라 관영에 의견을 보냈더니
본읍本邑 맛겨 뎨題辭 맛다 본本 관官衙의 븟치온 즉,갑산 본읍에 맡겨 판결하도록 본 관아에 부쳤으니
불문시비不問是非 올여 고 형문刑門 일一次 맛 말,시비를 불문 오라 매고 형벌 한 차례 당했네
천신만고千辛萬苦 노녀셔 고향故鄕 生涯 다 치고,천신만고 놓여나서 고향 살림 다 떨치고
닌리 친구親舊 ꢀ직 업시 부노扶老 휴유携幼子 야반夜半의,인근 친구 하직 없이 노인을 부축하고 어린자식 끼고 한밤중에
후틔령노厚峙嶺路 빗겨 두고 금챵령金昌嶺을 허위 너머,후치령 길 곁에 두고 금창령을 허위허위 넘어
단천端川 을 바라 지나 셩星岱山을 너머 서면,단천 땅을 바로 지나 성대산을 넘어 서면
북쳥北靑 이 긔 아닌가,북청 땅이 그 아닌가
거처居處 호부好否 다 치고 모 가속 안보ꢀ고,거처가 좋은지 아닌지 다 떨치고 모든 가족 보살피고
신역身役 업 군軍士되세,신역 없는 군사 되었으면
 곳 신역身役 이러ꢀ면 이친기묘離親棄墓 ꢀ올소냐,내 곧 신역 이러하면 친척과 헤어지고 조상의 묘 버릴까
비이다 비이다 하나님게 비이다,비나이다 비나이다 하나님께 비나이다
충군忠君 민愛民 북청北靑 원님 우리 고을 빌이시면,충군 애민 북청 원님 우리 고을 빌려주시면
군뎡軍丁 도탄塗炭 그려다가 헌폐상軒陛上의 올이리라,도탄에 빠진 군정을 그려서 임금님께 올리리라
그 ꢁ 명연明年 잇 처妻子 동同生 거리고,그대 또한 내년 이때 처자 동생 거느리고
이 령노嶺路로 잡아들  긋  말 치리라,이 고개 길로 접어들 제 그때 내 말 깨우치리라
 심듕心中의 잇날 말 횡설수설橫設竪設 ꢀ려 ꢀ면,내 심중에 있는 말씀 횡설수설 하려 하면
내일來日 이  다 지나도 반半 나마 모자라리,내일 이 때 다 지나도 반 남아 모자라네
일모총총日暮忽忽 갈 길 머니 하직ꢀ고 가노라.,날이 저물어 총총 갈 길 머니 하직하고 가노라.
어화 그 뉘신고 어로셔 오신가,어와 그 뉘신가 어디에서 오시는가
텬샹 옥경을 엇지ꢀ여 리별ꢀ고,천상 백옥경을 어찌하여 이별하고
이내 산즁 깁흔 곳에 뉘를  오시가,이내 산중 깊은 곳에 누구를 찾아 오시는가
반갑기도 무궁ꢀ고 깃브기도 측량업다,반갑기도 무궁하고 기쁘기도 헤아릴 수 없다
허허 깃블시고 희희 대소로다,허허 기쁘구나 희희 큰 웃음이로다
이 가 월인지 나물 려 오시가,이 때가 삼월인지 나물 캐러 오시는가
산명을 반기 듯고 념불 공덕 오시가,산 이름 반겨 듣고 염불 공덕 오시는가
하노 려가 으로 소삿가,하늘에서 내려왔는가 땅으로 솟았는가
셰류 흔 가는 허리 츈풍에 휘노 듯,실버들 같은 가는 허리 봄바람에 휘노는 긋
용모 거동 라보니 쳔염 가즐시고,용모 거동 바라보니 백태천염百態倩艶 갖추었네
팔 츈산 그린 눈썹 초 반월 아니신가,팔八자 봄 산 그린 눈썹 초승달 반달 아닌가
단슌을 반ꢀ고 웃 듯 기 듯,붉은 입술 반쯤 열고 웃는 듯 찡그리는 듯
한나라 왕소군가 윗 나라 셔시련가,한나라 왕소군王昭君인가 이웃 나라 서시西施런가
이 곳이 요지련가 셔왕모의 즈시로다,이 곳이 요지瑤池런가 서왕모西王母의 모습이로다
형산의 팔션년가 남악에 위부인가,형산의 팔선녀인가 남악의 위부인衛夫人인가
위 공의 란 인가 당 명황에 양구빈가,위 공자의 자란인가 당 명황의 양귀비인가
쳔 만 가스니 사인지 귀신인지,온갖 태도 갖췄으니 사람인지 귀신인지
반갑기도 이 업고 깃브기도 측량 업다,반갑기도 끝이 없고 기쁘기도 헤아릴 수 없다
이 내 몸 거되여 셰샹 공명 ꢀ직ꢀ고,이 내 몸 거사居士되어 세상 공명 하직하고
태산을 의지ꢀ여 우락을 몰낫더니,태산을 의지하여 근심과 즐거움을 몰랐더니
산즁에 도를 닥가 이 각시를 만나서라,산속에서 도를 닦아 이 각씨를 만났구나
귀신이 도으시고 신령이 도으신가,귀신이 도왔는가 신령이 도왔는가
이 산즁에 깃슬 드려 목탁으로 졍을 붓쳐,이 산중에 거처를 드리고 목탁으로 정을 붙여
산를 여 먹고 음양을 몰낫더니,산채를 캐어 먹고 음양陰陽을 몰랐더니
아모리 갈나 ꢁ들 오신 각시 갈 길 업다,아무리 가려고 한들 오신 각씨 갈 길 없다
면을 혀보니 만류ꢀ 리 뉘 잇가,사면을 살펴보니 만류할 이 누가 있는가
거님아 거님아 내 졍 드러보소,거사님아 거사님아 내 사정 들어보소
쳥츈 팔 긔박ꢀ여 이 내 몸 과부되이,청춘 팔자 기구하여 이 내 몸 과부되어
가부를 이장코져 명산을 두로 ,남편을 이장하고자 명산名山을 두루 찾아
태산을 평디 고 대를 륙디 아,태산을 평지 삼고 대해大海를 육지 삼아
를 구경ꢀ고 명산에 도라드니,사해를 구경하고 명산에 돌아드니
우연이 이 곳 와셔 그의계 욕을 보니,우연히 이 곳 와서 그대에게 욕을 보니
욕을 보고 살 양이면 렬녀라 칭찬ꢀ리,욕을 보고 살 양이면 열녀烈女라 칭찬하리
비이다 비이다 거님 전 비이다,비나이다 비나이다 거사님 앞 비나이다
이 내 몸이 산 밧게 무이 나게 ꢀ면,이 내 몸이 산 밖에 무사히 나가게 하면
머리털노 신을 고 풀을  갑흐리다,머리털로 신을 삼고 풀을 맺어 갚으리라
비이다 비이다 거님게 비이다,비나이다 비나이다 거사님께 비나이다
어화 뎌 거의 ꢀ 거동 괴이ꢀ다,어와 저 거사의 하는 거동 괴이하다
범증의 말으로 급격물실 뎨일이라,범증范增의 말씀으로 급격물실急擊勿失 제일이라
쳐가 완완ꢀ면 그 사이에 좀이 난다,일처리가 느릿느릿하면 그 사이에 좀이 난다
우리 두리 맛나기 텬우신조 ꢀ엿구나,우리 둘이 만나기는 천우신조 하였구나
각식님 가련ꢀ되 버서날 길 바이 업다,각씨님 가련하되 벗어날 길 전혀 없다
함졍에 든 범이오 듕영에 든 파리로다,함정에 든 호랑이요 겹겹에 든 파리로다
산 밧게 산이오 물 밧게 물이로다,산 밖에 산이요 물 밖에 물이로다
거님 ꢀ 말이 도 그만 두오,거사님 하는 말이 자태姿態도 그만 두오
이런 줄 알아스면 어 뉘가 거되리,이런 줄 알았으면 어느 누가 거사될까
아미타불 념불인들 깃불시고 닉어서라,아미타불 염불인들 기쁘구나 익었어라
팔념쥬 목탁 증 부톄님 드리리라,백팔염주 목탁 징 부처님께 드리리라
산신님게 표ꢀ고 부톄님 하직ꢁ 후,산신님께 알리고 부처님께 하직한 후
나 간다 나 간다 산 아로 나 간다,나는 간다 나는 간다 산 아래로 나는 간다
나 슬타 나 슬타 가 발랑 나 실타,나는 싫다 나는 싫다 가사 바랑 나는 싫다
가다가 아모데나 산 됴코 물 됴흔 ,가다가 아무데나 산 좋고 물 좋은 데
좌오향으로 슈간 쵸옥 지은 후에,자좌오향子坐午向으로 몇 칸 초가집 지은 후에
셕뎐을 깁히 갈아 쵸식을 먹을만졍,석전石田을 깊이 갈아 초식草食을 먹을망정
창송쥭 갓치 즐길 젹에,창송취죽蒼松翠竹 같이 즐길 적에
유녀 ꢀ고 보면 목탁 증 일흠ꢀ세,아들과 딸을 낳아 보면 목탁과 징이라 이름하세
이 셰상 다 진커든 후 길을 닥그리라.,이 세상 다 끝나거든 후생 길을 닦으리라.
新學少生신학소생 아덜아 이 訓戒훈계 들어설어,글 배우는 아이들아 이내 훈계 들어보라
人間世上인간세상 貴귀한 거시 學問학문박기  이쓰랴,인간세상 귀한 것이 학문밖에 또 있으랴
天地人천지인 三才삼재 中중에 人生인생이 最貴최귀사,천지인 삼재 중에 인생이 가장 귀해
禽獸금수와 다른 은 仁義禮智인의예지 이씰라,금수와 다른 뜻은 인의예지 때문이라
孔孟공맹  大聖人대성인도 學問학문으로 道通도통ꢀ고,공자 맹자 대성인도 학문으로 도통하고
董仲舒동중서 司馬遷사마천도 文章문장으로 되여셔라,동중서 사마천도 문장으로 되었도다
心神심신이 恍惚황홀ꢀ야 萬古事만고사을 點檢점검차고,정신이 황홀하여 옛일을 점검하려
學海학해에 를 여 筆墨필묵으로 도 아,학문 바다 배를 띄워 필묵으로 돛대 삼아
八荒팔황을 귀경ꢀ고 定處정처 업시 기니,온 세상을 구경하고 정처 없이 다니더니
五倫오륜으로 터을 닥거 六德육덕으로 집을 아,오륜으로 터를 닦아 육덕으로 집을 삼아
九容구용 九思구사 壁벽에 걸고 六行육행 六藝육예 길을 아,구용 구사 벽에 걸고 육행 육예 길을 삼아
三綱五常삼강오상 八條目팔조목은 身上신상에 거러두고,삼강오상 팔조목은 내 몸에 걸어두고
孝悌忠信효제충신 禮義廉恥예의염치 心中심중에 가득 와,효제충신 예의염치 마음속에 가득 채워
의 長短장단 是非시비 말고 의 炎凉염량 進退진퇴 말아,남의 장단 시비 말고 나의 슬기 진퇴 마라
大丈夫대장부 되야거든 居天下之거천하지 廣居광거ꢀ며,대장부 되었거든 넓은 집에 거처하며
立天下之입천하지 正位정위ꢀ며 行天下之행천하지 大道대도ꢀ면,바른 자리 위치하며 큰 도를 행하면
뉘라셔 是非시비ꢀ며 그 뉘라셔 禁금손야,그 누가 시비하며 그 누가 금할쏘냐
今世上금세상에 面墻客면장객은 曠安宅而광안택이 不居불거ꢀ고,요즘의 좁은 사람 집 비우고 살지 않고
捨正路而사정로이 不由불유ꢀ니 그 안이 可哀가애ꢁ가,길 버리고 가지 않으니 그 아니 애석한가
蹊茅혜모을 부여여 가 길을 트이과,띠풀을 베어내어 가는 길을 트고 싶고
黃鶯황앵을 옴겨여 喬木교목에 올으과져,꾀꼬리 던져서 큰 나무에 옮기고 싶네
오날이 람 될가 來日내일이 람 될가,오늘이나 사람 될까 내일이나 사람 될까
이 져 다가 어늬  손야,이해 저해 바라다가 어느 해나 바랄쏘냐
그렁져렁 四十사십 되니 無惑而무혹이 有惑유혹이랴,그럭저럭 사십 되니 미혹됨이 없겠느냐
 도례 못 ꢀ고 의 用心용심 아가,내 도리 못다 하고 남의 마음 자아낼까
日用動靜일용동정 云爲운위 間간에 縱慾恣暴종욕자폭 조심ꢀ라,일상생활 언행 중에 함부로 함 조심하라
仁心根於인심근어 天理천리ꢀ고 利慾生於이욕생어 物我물아ꢀ니,어진 마음 천리에서 이욕은 물아에서 생기니
鷄雛犬子계추견자 나가거든 불너들여 오되,병아리 강아지 나가거든 불러들여 찾아오되
이  나가거든 올 줄 모를손야,이내 마음 나가거든 찾아올 줄 모를쏘냐
의 富貴부귀 부려 고 의 絶色절색 부러 나,남의 부귀 부러워 말고 남의 절색 부러워 마라
勸學歌권학가 옛 말 너히 이졋냐,권학가 옛 말씀 너희는 잊었느냐
公侯鍾祿공후종록 願원치 말나 글 온 잇니라,고관 녹봉 원치 마라 글 가운데 있느니라
奴婢노비 田地전지 貪탐치 나 글 가온 인니라,노비 논밭 탐치 마라 글 가운데 있느니라
어화 설운지고 이 身勢신세 孑孑혈혈ꢀ야,어와 서럽도다 이내 신세 외로워서
父母부모를 早喪조상ꢀ고 浮萍世부평세에 托身탁신ꢀ야,어려서 부모 잃고 세상에 몸을 맡겨
月懸嶝월현등 山水산수 間간에 竹菊軒죽국헌 지어 두고,월현등 산수 간에 죽국헌 지어 두고
님 업는 淸風明月청풍명월 ꢁ 더 희롱터니,임자 없는 청풍명월 혼자 맡아 희롱터니
陋巷簞瓢누항단표 그 뉘런고 安貧樂道안빈낙도 못ꢀ야셔,가난한 삶 누구던가 도 즐길 줄 못하여서
書冊서책을 ꢀ즉ꢀ고 歸農귀농이 已久이구로다,서책을 하직하고 귀농한 지 오래로다
아모리 今世上금세상에 以食爲天이식위천 ꢀ것만은,아무리 지금 세상 먹는 것이 중요하나
堯之水요지수 九年구년인 泰山태산조차 무어지며,요임금 때 구년 홍순들 태산까지 무너지며
湯之旱탕지한 七年칠년인달 河海하해조 을소냐,탕임금 때 칠년 가뭄인들 하해까지 마를쏘냐
아모리 窮困궁곤ꢁ달 學問학문을 바히 말냐,아무리 곤궁한들 학문을 그만두랴
晝耕주경 夜讀야독ꢀ면 古蹟고적을 이즐손냐,밭 갈면서 글 읽으면 옛 자취를 잊을쏘냐
有莘유신의 널운 들에 伊尹이윤을 三聘삼빙ꢀ며,유신의 넓은 들로 이윤을 찾아가며
南陽남양 지픈 草廬초려 中중에 孔明공명을 三顧삼고ꢁ다,남양 깊은 초려로 제갈공명 찾아간다
南山남산에 시문 슨 줌줌이 여 며,남산에 심은 팥은 줌줌이 매어 내며
안상에 인 은 卷卷권권이 릴거 여,책상 위에 쌓인 책은 권권이 읽어 내어
慕孔子之모공자지 三絶삼절ꢀ고 惜大禹之석대우지 寸陰촌음ꢀ니,공자는 끈 세 번 끊었고 우임금은 촌음도 아꼈으니
如流여류ꢁ 歲月세월을 懈惰해타히 말어셔라,흐르는 세월을 게을리 하지 마라
집의 옷 밥을 언고 들먹 져 雇工아,집의 옷과 밥을 얹고서 못나고 비뚤어진 저 고공아
우리 집 긔별을 아다 모로다,우리 집 기별을 아느냐 모르느냐
비오  일 업   면셔 니리라,비오는 날 일 없을 때 새끼 꼬면서 말하리라
처음의 한어버이 사롬리 ꢀ려  ,처음에 할아버지 살림살이 하려 할 때
仁心을 만히 쓰니 사이 졀로 모다,어진 마음 많이 쓰니 사람이 절로 모여
플 고 터을 닷가 큰집을 지어내고,풀 베고 터를 닦아 큰집을 지어내니
셔리 보십 장기 쇼로 田畓을 긔경ꢀ니,써레 보습 쟁기 소로 논밭을 일구기 시작하니
오려논 터밧치 여드레 리로다,올벼논 텃밭이 여드레갈이로다
子孫에 傳繼ꢀ야 代代로 나려오니,자손에 전해져 대대로 내려오니
논밧도 죠커니와 雇工도 근검터라,논밭도 좋거니와 고공도 근검하더라
저희마다 여름지어 가여리 사던 것슬,저희마다 농사지어 넉넉하게 살던 것을
요이 雇工들은 혬이 어이 아조 업서,요사이 고공들은 생각이 어찌 아주 없어
밥사발 큰나 쟈그나 동옷시 죠코 즈나,밥사발 크나 작으나 저고리가 깨끗하거나 더럽거나
을 호 듯 호슈을 오 듯,마음을 다투는 듯 호수戶首를 시기하는 듯
무 일 걈드러 흘긧할긧 ꢀ다,무슨 일 속이려고 흘깃흘깃 하느냐
너희 일 아니코 時節좃 오나와,너희네 일 아니하고 시절조차 사나워
득의  셰간이 플러지게 되야,가뜩이나 내 세간이 흩어지게 되었는데
엇그 火强盜에 家産이 蕩盡ꢀ니,엊그제 화강도에 가산을 탕진하니
집 ꢀ나 불타붓고 먹을 시 전혀 업다,집 하나 불타버리고 먹을 것이 전혀 없다
큰나큰 셰을 엇지ꢀ여 니로려료,크나큰 세간을 어떻게 이루런가
金哥 李哥 雇工들아   먹어슬라,김가 이가 고공들아 새 마음을 먹자꾸나
너희 졀머다 혬 혈나 아니다,너희네 젊었으니 생각 설마 아니할까
ꢁ 소 밥 먹으며 매양의 仄仄ꢀ랴,한 솥에 밥 먹으며 매번 아웅다웅하랴
 ꢁ 으로 녀름을 지어스라,한 마음 한 뜻으로 농사를 짓자꾸나
ꢁ 집이 가음열면 옷밥을 分別ꢀ랴,한 집이 풍족하면 옷과 밥을 분별하랴
누고 장기 잡고 누고 쇼을 몰니,누구는 쟁기 잡고 누구는 소를 모니
밧 갈고 논 살마 벼 셰워 더져두고,밭 갈고 논 삶아서 벼를 심어 던져두고
 됴흔 호로 기음을 야스라,날 좋은 호미로 김매기를 하자꾸나
山田도 것츠럿고 무논도 기워간다,산에 있는 밭도 거칠었고 무논도 무성해져 간다
사립 피 목 나셔 볏 겨 셰올셰라,싸리 피가 우뚝하게 나서 벼 곁에 쇠어질까 두려워라
七夕의 호 씻고 기음을 다  후의,칠석에 호미씻기를 하고 김매기를 다 한 후에
 기 뉘 잘ꢀ며 셤으란 뉘 엿그랴,새끼 꼬기 뉘 잘하며 가마니는 뉘 엮으랴
너희 조 셰아려 자라자라 맛스라,너희 재주 헤아려 자주자주 맡아라
을 거둔 후면 成造를 아니 ꢀ랴,가을걷이한 후에는 집짓기를 아니 하랴
집으란 내 지으게 움으란 네 무더라,집일랑 내 지을게 움일랑 네가 묻어라
너희 조을 내 斟酌 ꢀ엿노라,너희 재주를 내 짐작 하였노라
너희도 머글 일을 分別을 ꢀ려므나,너희도 먹을 일을 분별을 하려무나
명셕의 벼 넌들 됴흔  구름 여 볏뉘을 언 보랴,멍석에 벼를 넌들 좋은 해 구름 끼어 햇볕을 언제 보랴
